City_ID,City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain inches (last 3 hrs),Snow inches (last 3 hrs)
104,104,Kaitangata,NZ,2019-11-12 05:35:24,-46.28,169.85,57.0,60,62,8.99,broken clouds,0.0,0.0
105,105,Klaksvik,FO,2019-11-12 05:35:24,62.23,-6.59,33.8,80,100,9.17,light snow,0.0,0.63
106,106,Batagay-Alyta,RU,2019-11-12 05:35:24,67.8,130.41,-3.7,94,100,4.45,overcast clouds,0.0,0.0
107,107,Tiksi,RU,2019-11-12 05:35:24,71.64,128.87,-11.46,89,96,6.31,overcast clouds,0.0,0.0
108,108,Vagur,FO,2019-11-12 05:35:25,61.47,-6.81,41.36,74,100,20.42,light rain,0.81,0.0
109,109,Oblivskaya,RU,2019-11-12 05:35:25,48.54,42.5,47.62,77,11,1.79,few clouds,0.0,0.0
110,110,Marsh Harbour,BS,2019-11-12 05:35:25,26.54,-77.06,77.4,68,0,14.43,light rain,0.13,0.0
111,111,Lieksa,FI,2019-11-12 05:35:25,63.32,30.02,27.77,94,87,4.56,overcast clouds,0.0,0.0
112,112,Tazovskiy,RU,2019-11-12 05:35:26,67.47,78.7,-2.93,83,100,6.26,overcast clouds,0.0,0.0
113,113,Kaeo,NZ,2019-11-12 05:35:26,-35.1,173.78,60.01,62,6,8.99,clear sky,0.0,0.0
114,114,Llangefni,GB,2019-11-12 05:35:26,53.26,-4.31,46.4,70,59,34.45,light rain,0.19,0.0
115,115,Qaanaaq,GL,2019-11-12 05:35:26,77.48,-69.36,4.6,57,0,2.89,clear sky,0.0,0.0
116,116,Lagoa,PT,2019-11-12 05:35:27,37.14,-8.45,57.0,66,17,4.7,few clouds,0.0,0.0
117,117,Nishihara,JP,2019-11-12 05:35:27,35.74,139.53,71.6,43,20,12.75,few clouds,0.0,0.0
118,118,Hobart,AU,2019-11-12 05:30:58,-42.88,147.33,55.0,50,75,21.92,light intensity shower rain,0.0,0.0
119,119,Alyangula,AU,2019-11-12 05:35:27,-13.85,136.42,93.2,49,40,10.29,scattered clouds,0.0,0.0
120,120,Touros,BR,2019-11-12 05:35:27,-5.2,-35.46,73.4,88,40,3.36,scattered clouds,0.0,0.0
121,121,Tecoanapa,MX,2019-11-12 05:35:28,16.99,-99.26,84.2,79,40,1.41,scattered clouds,0.0,0.0
122,122,Omaruru,,2019-11-12 05:35:28,-21.42,15.95,72.55,28,0,1.7,clear sky,0.0,0.0
123,123,Goianesia,BR,2019-11-12 05:35:28,-15.32,-49.12,70.2,80,97,1.95,overcast clouds,0.0,0.0
124,124,Castro,CL,2019-11-12 05:35:28,-42.48,-73.76,46.4,100,90,3.36,overcast clouds,0.0,0.0
125,125,Melito Di Porto Salvo,IT,2019-11-12 05:35:29,37.92,15.77,62.6,87,20,9.17,shower rain,0.0,0.0
126,126,Vinh Yen,VN,2019-11-12 05:35:29,21.31,105.6,80.6,54,20,3.36,few clouds,0.0,0.0
127,127,Airai,TL,2019-11-12 05:35:29,-8.93,125.41,85.1,37,0,8.57,clear sky,0.0,0.0
128,128,Vieux Fort,LC,2019-11-12 05:35:29,13.72,-60.95,82.4,78,75,19.46,broken clouds,0.0,0.0
129,129,Thompson,CA,2019-11-12 05:35:29,55.74,-97.86,1.4,77,75,10.29,broken clouds,0.0,0.0
130,130,Lorengau,PG,2019-11-12 05:35:30,-2.02,147.27,80.22,83,100,15.41,light rain,2.13,0.0
131,131,Raduzhnyy,RU,2019-11-12 05:35:30,62.1,77.47,14.94,90,98,7.52,light snow,0.0,0.19
132,132,Liwale,TZ,2019-11-12 05:35:30,-9.8,37.92,79.29,60,75,5.75,broken clouds,0.0,0.0
133,133,Pangnirtung,CA,2019-11-12 05:35:30,66.15,-65.72,18.32,72,100,4.47,overcast clouds,0.0,0.0
134,134,Esperance,AU,2019-11-12 05:35:31,-33.86,121.89,66.2,48,0,18.34,clear sky,0.0,0.0
135,135,Champasak,LA,2019-11-12 05:35:31,14.89,105.88,78.8,78,75,6.93,broken clouds,0.0,0.0
136,136,Bana,CM,2019-11-12 05:35:31,5.14,10.29,67.62,97,100,2.66,light rain,0.13,0.0
137,137,Ostrovnoy,RU,2019-11-12 05:35:31,68.05,39.51,21.4,88,100,11.86,overcast clouds,0.0,0.0
138,138,Hambantota,LK,2019-11-12 05:35:32,6.12,81.12,86.0,74,20,2.24,few clouds,0.0,0.0
139,139,Port Elizabeth,US,2019-11-12 05:35:32,39.31,-74.98,59.0,66,1,4.7,clear sky,0.0,0.0
140,140,Aswan,EG,2019-11-12 05:35:32,24.09,32.9,71.6,60,0,8.05,clear sky,0.0,0.0
141,141,Forestville,CA,2019-11-12 05:35:33,48.74,-69.09,19.4,85,90,5.82,light snow,0.0,0.0
142,142,Tamiahua,MX,2019-11-12 05:35:33,21.28,-97.45,77.16,83,17,7.83,light rain,0.19,0.0
143,143,Lasa,CY,2019-11-12 05:35:33,34.92,32.53,71.6,34,0,4.7,clear sky,0.0,0.0
144,144,Grand Gaube,MU,2019-11-12 05:35:33,-20.01,57.66,80.6,74,40,12.75,shower rain,0.0,0.0
145,145,Katsuura,JP,2019-11-12 05:35:34,33.93,134.5,68.0,49,20,11.41,few clouds,0.0,0.0
146,146,Haines Junction,CA,2019-11-12 05:35:34,60.75,-137.51,11.23,93,100,3.8,overcast clouds,0.0,0.0
147,147,Becej,RS,2019-11-12 05:35:34,45.62,20.05,52.02,66,97,11.56,overcast clouds,0.0,0.0
148,148,Riyadh,SA,2019-11-12 05:35:34,24.63,46.72,66.2,68,46,2.24,scattered clouds,0.0,0.0
149,149,Mar Del Plata,AR,2019-11-12 05:35:35,-46.43,-67.52,50.41,89,0,6.51,clear sky,0.0,0.0
150,150,Mazatlan,MX,2019-11-12 05:30:58,23.22,-106.42,80.01,61,90,3.36,overcast clouds,0.0,0.0
151,151,Chokurdakh,RU,2019-11-12 05:35:35,70.62,147.9,10.83,95,100,4.88,light snow,0.0,0.69
152,152,Georgetown,GY,2019-11-12 05:35:35,6.8,-58.16,75.2,100,20,10.94,mist,0.0,0.0
153,153,Bathsheba,BB,2019-11-12 05:35:36,13.22,-59.52,78.8,83,75,13.87,shower rain,0.0,0.0
154,154,Tura,RU,2019-11-12 05:35:36,64.27,100.22,-16.53,91,90,2.28,overcast clouds,0.0,0.0
155,155,Yellowknife,CA,2019-11-12 05:35:36,62.45,-114.38,8.6,84,90,8.05,light snow,0.0,0.0
156,156,Payakumbuh,ID,2019-11-12 05:35:36,-0.23,100.63,87.03,51,95,0.47,light rain,1.13,0.0
