City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
125,Cabo San Lucas,MX,2019-11-10 03:12:12,22.89,-109.91,82.99,61,75,6.93
126,Kavaratti,IN,2019-11-10 03:14:08,10.57,72.64,82.4,78,20,4.7
127,Champerico,MX,2019-11-10 03:14:37,16.38,-93.6,75.2,73,5,8.05
128,Grand-Lahou,CI,2019-11-10 03:14:37,5.24,-5.0,81.64,77,0,8.23
129,Scarborough,GB,2019-11-10 03:14:38,54.28,-0.41,44.01,75,1,8.05
130,Qianan,CN,2019-11-10 03:14:38,44.99,124.06,49.23,76,100,11.74
131,Touho,NC,2019-11-10 03:14:38,-20.78,165.23,83.08,38,28,10.16
132,Koslan,RU,2019-11-10 03:14:39,63.46,48.9,16.39,93,100,7.36
133,Touros,BR,2019-11-10 03:14:39,-5.2,-35.46,75.2,88,20,4.7
134,Ulladulla,AU,2019-11-10 03:14:39,-35.36,150.48,73.4,31,90,12.75
135,Yorkton,CA,2019-11-10 03:14:39,51.21,-102.46,10.4,78,40,12.75
136,Coxim,BR,2019-11-10 03:14:39,-18.5,-54.75,75.2,86,100,2.08
137,Tooele,US,2019-11-10 03:14:39,40.53,-112.3,46.99,69,1,0.22
138,Fortuna,US,2019-11-10 03:14:40,40.6,-124.16,52.0,100,90,2.59
139,Camacha,PT,2019-11-10 03:14:40,33.08,-16.33,68.0,68,40,16.11
140,Komsomolskiy,RU,2019-11-10 03:14:40,67.55,63.78,-6.29,100,35,3.8
141,Vaini,IN,2019-11-10 03:14:41,15.34,74.49,75.2,73,0,8.05
142,Tevaitoa,PF,2019-11-10 03:14:41,-16.78,-151.5,79.95,79,100,18.3
143,Le Port,FR,2019-11-10 03:14:41,42.87,1.37,44.01,79,100,132.0
144,Carnarvon,ZA,2019-11-10 03:14:10,-30.97,22.13,59.68,48,98,5.5
145,Longyearbyen,NO,2019-11-10 03:14:41,78.22,15.63,23.0,73,40,10.29
146,Coahuayana,MX,2019-11-10 03:14:42,18.62,-100.35,74.77,75,8,3.31
147,Henties Bay,NA,2019-11-10 03:14:42,-22.12,14.28,57.0,94,0,1.99
148,Dingle,PH,2019-11-10 03:14:42,11.0,122.67,84.31,75,33,2.55
149,Ambilobe,MG,2019-11-10 03:14:42,-13.19,49.05,76.06,78,21,9.1
150,Natal,BR,2019-11-10 03:14:21,-5.81,-35.21,77.0,88,20,4.7
151,Aleksandrov Gay,RU,2019-11-10 03:14:43,50.14,48.57,34.86,83,5,9.17
152,San Andres,PH,2019-11-10 03:14:43,13.32,122.68,84.52,73,55,6.4
153,Grenfell,AU,2019-11-10 03:14:43,-33.9,148.16,69.35,37,40,13.47
154,Yellowknife,CA,2019-11-10 03:14:43,62.45,-114.38,3.0,70,90,9.17
155,Yulara,AU,2019-11-10 03:14:44,-25.24,130.99,87.8,8,0,9.17
156,Puerto Narino,CO,2019-11-10 03:14:44,-3.77,-70.38,78.8,100,75,3.36
157,Hays,US,2019-11-10 03:14:44,38.88,-99.33,55.4,32,1,11.41
158,Ponta Delgada,PT,2019-11-10 03:14:45,37.73,-25.67,59.0,87,20,5.82
159,Cidreira,BR,2019-11-10 03:14:45,-30.17,-50.22,70.74,88,100,21.34
160,Opatija,HR,2019-11-10 03:14:45,45.33,14.3,53.6,66,92,9.17
161,Waddan,LY,2019-11-10 03:14:45,29.16,16.14,63.61,71,100,10.09
162,Namibe,AO,2019-11-10 03:14:45,-15.19,12.15,76.3,76,8,9.44
163,Hamilton,CA,2019-11-10 03:13:58,43.26,-79.87,41.0,69,75,13.87
164,Tuatapere,NZ,2019-11-10 03:14:18,-46.13,167.69,51.01,88,100,5.99
165,Gladstone,AU,2019-11-10 03:14:46,-23.84,151.26,86.0,21,0,17.22
166,Bainbridge,US,2019-11-10 03:14:46,30.9,-84.58,50.0,76,1,3.36
167,Harnosand,SE,2019-11-10 03:14:47,62.63,17.94,21.99,85,100,12.75
168,Nome,US,2019-11-10 03:14:47,30.04,-94.42,51.8,93,1,2.55
169,Ponta Do Sol,BR,2019-11-10 03:14:47,-20.63,-46.0,67.89,93,100,3.69
